Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Seasons
1,Milwaukee Bucks,E,C,60,22,0.732,8.87,114.23,105.76,8.47,8.05,113.89,106.23,7.66,2018/2019
2,Golden State Warriors,W,P,57,25,0.695,6.46,116.63,110.24,6.39,6.42,116.6,110.24,6.37,2018/2019
3,Toronto Raptors,E,A,58,24,0.707,6.09,113.99,108,5.99,5.49,113.78,108.4,5.38,2018/2019
4,Utah Jazz,W,NW,50,32,0.61,5.26,111.35,106.11,5.24,5.29,111.23,105.94,5.28,2018/2019
5,Houston Rockets,W,SW,53,29,0.646,4.77,116.25,111.43,4.82,4.97,116.45,111.43,5.03,2018/2019
6,Portland Trail Blazers,W,NW,53,29,0.646,4.2,115.45,111.07,4.38,4.44,115.63,111.01,4.62,2018/2019
7,Denver Nuggets,W,NW,54,28,0.659,3.95,113.76,109.62,4.14,4.2,113.74,109.35,4.39,2018/2019
8,Boston Celtics,E,A,49,33,0.598,4.44,112.78,108.35,4.43,3.9,112.57,108.69,3.88,2018/2019
9,Oklahoma City Thunder,W,NW,49,33,0.598,3.4,110.85,107.53,3.31,3.56,110.71,107.22,3.49,2018/2019
10,Indiana Pacers,E,C,48,34,0.585,3.33,110.62,107.23,3.39,2.76,110.31,107.5,2.8,2018/2019
11,Philadelphia 76ers,E,A,51,31,0.622,2.7,113.21,110.58,2.64,2.26,113.16,110.97,2.19,2018/2019
12,San Antonio Spurs,W,SW,48,34,0.585,1.68,113.3,111.55,1.75,1.81,113.3,111.42,1.88,2018/2019
13,Los Angeles Clippers,W,P,48,34,0.585,0.85,113.14,112.33,0.81,1.09,113.29,112.22,1.06,2018/2019
14,Orlando Magic,E,SE,42,40,0.512,0.71,109.46,108.82,0.65,0.28,109.26,109.05,0.21,2018/2019
15,Miami Heat,E,SE,39,43,0.476,-0.23,108.22,108.35,-0.13,-0.45,108.03,108.39,-0.36,2018/2019
16,Brooklyn Nets,E,A,42,40,0.512,-0.07,110.3,110.36,-0.06,-0.4,110.15,110.56,-0.41,2018/2019
17,Detroit Pistons,E,C,41,41,0.5,-0.24,109.93,110.13,-0.2,-0.55,109.86,110.38,-0.53,2018/2019
18,Sacramento Kings,W,P,39,43,0.476,-1.12,111.17,112.19,-1.02,-0.81,111.29,112,-0.71,2018/2019
19,Dallas Mavericks,W,SW,33,49,0.402,-1.28,110.19,111.41,-1.22,-0.86,110.29,111.08,-0.79,2018/2019
20,Minnesota Timberwolves,W,NW,36,46,0.439,-1.5,112.04,113.54,-1.51,-1.02,112.31,113.32,-1.01,2018/2019
21,New Orleans Pelicans,W,SW,33,49,0.402,-1.33,111.85,113.1,-1.25,-1.1,111.98,112.98,-1.01,2018/2019
22,Los Angeles Lakers,W,P,37,45,0.451,-1.72,108.52,110.18,-1.66,-1.32,108.46,109.71,-1.26,2018/2019
23,Charlotte Hornets,E,SE,39,43,0.476,-1.1,112.1,113.16,-1.06,-1.31,112.11,113.41,-1.3,2018/2019
24,Memphis Grizzlies,W,SW,33,49,0.402,-2.6,106.96,109.66,-2.7,-2.08,106.93,109.09,-2.17,2018/2019
25,Washington Wizards,E,SE,32,50,0.39,-2.9,111.72,114.56,-2.84,-3.3,111.72,114.97,-3.25,2018/2019
26,Atlanta Hawks,E,SE,29,53,0.354,-6.02,108.71,114.41,-5.7,-6.06,108.83,114.59,-5.76,2018/2019
27,Chicago Bulls,E,C,22,60,0.268,-8.41,105.45,113.94,-8.49,-8.32,105.49,113.9,-8.41,2018/2019
28,Phoenix Suns,W,P,19,63,0.232,-9.34,106.29,115.55,-9.26,-8.61,106.59,115.11,-8.52,2018/2019
29,New York Knicks,E,A,17,65,0.207,-9.21,105.13,114.39,-9.26,-8.92,105.31,114.3,-8.98,2018/2019
30,Cleveland Cavaliers,E,C,19,63,0.232,-9.61,108.5,118.54,-10.04,-9.39,108.83,118.64,-9.82,2018/2019
1,Houston Rockets,W,SW,65,17,0.793,8.48,115.48,106.84,8.64,8.21,115.45,107.08,8.37,2017/2018
2,Toronto Raptors,E,A,59,23,0.72,7.78,114.6,106.56,8.03,7.3,114.5,106.96,7.54,2017/2018
3,Golden State Warriors,W,P,58,24,0.707,5.98,114.31,108.43,5.88,5.79,114.33,108.62,5.7,2017/2018
4,Utah Jazz,W,NW,48,34,0.585,4.3,109.07,104.56,4.51,4.47,108.92,104.24,4.68,2017/2018
5,Philadelphia 76ers,E,A,52,30,0.634,4.5,110.28,105.77,4.51,4.3,110.12,105.81,4.31,2017/2018
