YY,DD,MM,Kick-off,Date of the game,,Country,League,Seasons,ToG,Teams ,,Teams ID,,FT +OT Scores,,,,,,Draw,,,1 q ,,,OT Money Line,,OT Money Line,,OT Money Line,
,,,,GMT (UTC +0),PST (UTC -8),,,,,Home,Away,H,A,H,A,W,215.5,AH,TG,,H,A,H,A,R,matchbook,,pinnacle,,bet365,
,,,,,,,,,,,,,,,,,,,,,,,,,,H,A,H,A,H,A
2019,25,Apr,0:00,4/25/2019 0:00,4/24/2019 16:00,USA,NBA,2018/2019,Play Offs,Houston Rockets,Utah Jazz,HOU,UTA,100,93,H,U,7,193,,,,20,20,D,1.25,3.54,1.25,4.40,1.26,4.00
2019,24,Apr,2:30,4/24/2019 2:30,4/23/2019 18:30,USA,NBA,2018/2019,Play Offs,Portland Trail Blazers,Oklahoma City Thunder,POR,OKC,118,115,H,O,3,233,,,,29,37,A,1.58,2.28,1.68,2.33,1.64,2.35
2019,24,Apr,1:30,4/24/2019 1:30,4/23/2019 17:30,USA,NBA,2018/2019,Play Offs,Denver Nuggets,San Antonio Spurs,DEN,SAS,108,90,H,U,18,198,,,,26,19,H,1.34,2.86,1.43,3.05,1.43,2.90
2019,24,Apr,0:00,4/24/2019 0:00,4/23/2019 16:00,USA,NBA,2018/2019,Play Offs,Philadelphia 76ers,Brooklyn Nets,PHI,BKN,122,100,H,O,22,222,,,,32,15,H,1.26,3.44,1.31,3.81,1.30,3.65
2019,23,Apr,23:00,4/23/2019 23:00,4/23/2019 15:00,USA,NBA,2018/2019,Play Offs,Toronto Raptors,Orlando Magic,TOR,ORL,115,96,H,U,19,211,,,,35,19,H,1.07,5.20,1.13,7.04,1.11,6.75
2019,23,Apr,2:30,4/23/2019 2:30,4/22/2019 18:30,USA,NBA,2018/2019,Play Offs,Utah Jazz,Houston Rockets,UTA,HOU,107,91,H,U,16,198,,,,32,24,H,2.20,1.78,2.14,1.79,2.10,1.76
2019,23,Apr,0:00,4/23/2019 0:00,4/22/2019 16:00,USA,NBA,2018/2019,Play Offs,Detroit Pistons,Milwaukee Bucks,DET,MIL,104,127,A,O,23,231,,,,28,26,H,5.50,1.07,7.71,1.12,7.25,1.10
2019,22,Apr,1:30,4/22/2019 1:30,4/21/2019 17:30,USA,NBA,2018/2019,Play Offs,Oklahoma City Thunder,Portland Trail Blazers,OKC,POR,98,111,A,U,13,209,,,,24,26,A,1.36,2.78,1.42,3.11,1.40,3.10
2019,21,Apr,23:00,4/21/2019 23:00,4/21/2019 15:00,USA,NBA,2018/2019,Play Offs,Orlando Magic,Toronto Raptors,ORL,TOR,85,107,A,U,22,192,,,,26,28,A,2.65,1.41,2.95,1.46,2.85,1.44
2019,21,Apr,19:30,4/21/2019 19:30,4/21/2019 11:30,USA,NBA,2018/2019,Play Offs,Los Angeles Clippers,Golden State Warriors,LAC,GSW,105,113,A,O,8,218,,,,22,32,A,3.94,1.19,4.50,1.25,4.50,1.22
2019,21,Apr,17:00,4/21/2019 17:00,4/21/2019 9:00,USA,NBA,2018/2019,Play Offs,Indiana Pacers,Boston Celtics,IND,BOS,106,110,A,O,4,216,,,,23,21,H,2.20,1.77,2.14,1.79,2.15,1.74
2019,21,Apr,2:30,4/21/2019 2:30,4/20/2019 18:30,USA,NBA,2018/2019,Play Offs,Utah Jazz,Houston Rockets,UTA,HOU,101,104,A,U,3,205,,,,30,28,H,1.55,2.11,1.68,2.33,1.66,2.30
2019,21,Apr,0:00,4/21/2019 0:00,4/20/2019 16:00,USA,NBA,2018/2019,Play Offs,Detroit Pistons,Milwaukee Bucks,DET,MIL,103,119,A,O,16,222,,,,24,32,A,3.72,1.22,4.05,1.29,4.10,1.25
2019,20,Apr,21:30,4/20/2019 21:30,4/20/2019 13:30,USA,NBA,2018/2019,Play Offs,San Antonio Spurs,Denver Nuggets,SAS,DEN,103,117,A,O,14,220,,,,34,22,H,1.55,2.21,1.63,2.43,1.58,2.50
